token_symbol,contract_address,unique_kols,total_buys,total_volume,kol_names
Unknown,5KDbr1zhwZV81ZRJha36kFzCRiU7sMMkEju6usTQQ5Wm,16,142,5040208.97,"KOL_1, KOL_10, KOL_11, KOL_12, KOL_13, KOL_14, KOL_15, KOL_16, KOL_2, KOL_3, KOL_4, KOL_5, KOL_6, KOL_7, KOL_8, KOL_9"
Unknown,H3UaJUXX5bNeJgysDFEJN6VzW17E9LAqtn2hBPd71MXF,16,122,4154477.95,"KOL_1, KOL_10, KOL_11, KOL_12, KOL_13, KOL_14, KOL_15, KOL_16, KOL_2, KOL_3, KOL_4, KOL_5, KOL_6, KOL_7, KOL_8, KOL_9"
Unknown,7NrvMx9Cq1Y5umQ94q4Gy4Kpki4FiuiBfXXFYgMiW3f8,14,34,1269156.86,"KOL_1, KOL_11, KOL_13, KOL_14, KOL_15, KOL_16, KOL_2, KOL_3, KOL_4, KOL_5, KOL_6, KOL_7, KOL_8, KOL_9"
Unknown,8s8jvDMrYBWYPxPKBYvAjrqqz3tfBjNMyHVWbKGuggJW,9,41,1236160.76,"KOL_1, KOL_10, KOL_12, KOL_13, KOL_14, KOL_4, KOL_5, KOL_7, KOL_9"
Unknown,327DMmTFHtRBJ51N63S17y9XpMQpTJrK6jH9ZJBoKRV6,6,7,363080.96,"KOL_12, KOL_14, KOL_16, KOL_4, KOL_7, KOL_9"
Unknown,DRiPp1gMcRwSug5UsyW74pcqv7XhedyBiNCUBPxHpump,2,2,483973.27,"KOL_24, KOL_27"
Unknown,HNhg2uAj7r4oH9fMYGe2ajXdmW8YNTXFQLg5FwqKV9SJ,2,3,281381.63,"KOL_14, KOL_16"
Unknown,351dLWp2JssDGPqBKgLHNG9o9q6FpHeM3FfGMFBF7Kj9,2,4,240515.66,"KOL_14, KOL_16"
Unknown,8887E1suK2EGTog3xzXkCakvjxTqbYNiJ42bPMwQ2bYU,2,3,234643.0,"KOL_14, KOL_16"
Unknown,3uiijRJ3sEzdqfRVZQBo48BmTjkx6QyNW8MDeFgr9AP2,2,2,226717.59,"KOL_14, KOL_16"
Unknown,BQoaHudC1faVQCYY2vqTdH1jwsN89CtA1BA34eUVKLuS,2,2,212299.65,"KOL_14, KOL_16"
Unknown,8cXm2JaWQkVyCuAbGabBvvW3fXSViGnvkeP5Egongc3r,2,2,201163.17,"KOL_14, KOL_16"
Unknown,9Sq2NN619fDFs7KrrhNdKe8AxDzDzKjYVAXoUtTQ4pQP,2,2,198942.81,"KOL_14, KOL_16"
Unknown,8yrZFmT1Z4VaveeJA9x6FUNMah3m1RogoF5SM1kCwDF2,2,2,196589.06,"KOL_14, KOL_16"
Unknown,7NiXKH3kGwGFcs1dz69pL4zj85LjePiE6ERGnmJf37PM,2,3,158599.01,"KOL_14, KOL_16"
Unknown,H3v6r9CmBraBHZsftFrrB2Zrf8WPXgoYo7HkubaCpump,2,2,1000.0,"KOL_26, KOL_28"
Unknown,2mjiAUUE6vhX9Motk4t7saVEDr7J4CHZZpSZBq7hMvWj,1,18,1044085.05,KOL_25
Unknown,GvmPodCDV1WbLWBEHV7GruAiZ1YexJBqNsqTEYTrbonk,1,2,733405.35,KOL_27
Unknown,2ahTGCYPcc1k5WzxCuScM8eSydVBkQgJTqsCfUXypump,1,3,579736.38,KOL_27
Unknown,J6itzxg9JjRofqC85z3c6FnsCY6hekkCHsvGcE54pump,1,4,556008.39,KOL_27
Unknown,85BBWstkEtUVkgW6XamHGrbKrzE419MnDHL7brTiBAGS,1,1,531088.91,KOL_25
Unknown,9RXsi1X2yjyPmkkSUoEvDjCGXAh8VsVA1Kv9yeafpump,1,5,506181.7,KOL_27
Unknown,9KoK17YrmDVLLCrjMa6dF6w72iwC6cVMRzAX1gHApump,1,1,489374.5,KOL_25
