score,symbol,contract_address,market_cap,liquidity,volume_per_sec,price
67%,Unknown,7MAoyAxpejQqAAwTbnVWXmyZZmkgyWr235tX8Q3Vpump,"$24,253","$27,750",$40.22/s,$0.00002936
66%,Unknown,3Rp2VqGHeNsxpDskgZtDDDqD86ETd93SBfvMR4XCRACK,"$155,719","$51,990",$79.50/s,$0.00016658
63%,Unknown,8pgk8yb8uDbDvFAcJVXSwvG47sxYjsQiZXKRH4gNpump,"$34,087","$24,755",$7.26/s,$0.00003379
62%,Unknown,2hbV3yihGhgisvGnPmMKthBKVpNrERTZwTvARNUvpump,"$28,109","$20,580",$19.57/s,$0.00002682
61%,Unknown,GL1eYLFg9NWsSEFzjfSoov9Q1iF55tueRC3rMRg2pump,"$27,137","$21,034",$4.01/s,$0.00002407
60%,Unknown,4f2KdQVCaL2nHbLRW8ThHayrYbVABsWN1VJJZNz4pump,"$28,172","$19,592",$0.42/s,$0.00002819
57%,Unknown,G25AeXXogNQ6SQsK96zKg1F41pBpNYjL7X8Qq6GBpump,"$14,573","$12,062",$13.04/s,$0.00001398
57%,Unknown,4Aw5s5xGKjU52UxhbB1BiV9vHN93tph15EkEPjeGpump,"$90,864","$38,929",$26.17/s,$0.00008279
56%,Unknown,26AVXwg7nJW3jMtyCTbyj7qJVLjGM6WNF8r8Egxepump,"$14,731","$12,882",N/A,$0.00001470
56%,Unknown,DV17Aqd1Y6k4bZrBMHeuNEQw3fEE2vPKFhQSySXapump,"$13,566","$10,620",$12.41/s,$0.00001422
56%,Unknown,AvK2FsgNfqtNVWaARPmwBiedQ3crgurPLN7t7JiJpump,"$12,676","$11,122",$0.18/s,$0.00001269
55%,Unknown,B1fteRMrnCEpnjdQW81WD4c56p6eDvECt3dvArFLpump,"$11,416","$10,549",$2.25/s,$0.00001137
52%,Unknown,4q9TFm9TnXjw4L1DHysseRVbd33tjLJm9mjWxzR1pump,"$53,115","$31,071",$15.45/s,$0.00005320
45%,Unknown,2GXmB95pGD3pHV4mzNq7YsmyiEmVYWQLptbwYqgdpump,"$3,909,461","$272,539",$28.27/s,$0.00387467
30%,Unknown,9atiWDCAGS9asSEcf737cNzHj3fcpYQE1sHnX6YHpump,"$9,317","$7,942",$38.21/s,$0.00000956
23%,Unknown,2bPctzTCQ1gSuNeBbVxjW6KU7NQkPzV4SShzBaWLpump,"$7,056","$7,185",$19.12/s,$0.00000712
21%,Unknown,487jZysiv4ACWxgS3BNRuCvWUER5QYMdC3tZ1iycpump,"$6,480","$10,425",$0.07/s,$0.00000648
19%,Unknown,Fz3Dk2ZQpPYG81Yq6nUsM9rwjHcCcEmLzCnoGdd6pump,"$6,449",$49,$39.51/s,$0.00000645
18%,Unknown,5sCUfFhPPrihgaGTon2B3Y31KjW9CNn75EoTeWFqpump,"$7,023",$658,$0.04/s,$0.00000703
18%,Unknown,3LfZMEhejVRsxgKe41jHisQv5oq5VHPdRqts5Znrpump,"$6,988",$628,$0.03/s,$0.00000703
18%,Unknown,6qEQdcedTbqABCWZh8yy7zYZ6uVZKhk8j3bo7V5xpump,"$5,223","$9,227",$0.06/s,$0.00000514
17%,Unknown,5oGEeb7txR2dSqkX7T8a47sXHvi1mf2yeAPzZQegpump,"$6,535",$144,$4.33/s,$0.00000653
17%,Unknown,J8ZsME23a38axvWJwxJF9axVtNCaJFjWcC9UysMmpump,"$6,629",$254,$0.16/s,$0.00000664
16%,Unknown,BdkW5xUQGadupL7M6cYKhyBaeqpXvdq28H2SWit3pump,"$6,558",$158,N/A,$0.00000653
16%,Unknown,EN9husgPCwB9tQxBUREmFMbbv7JqvEMf5SRFGAM7pump,"$6,497",$102,N/A,$0.00000650
